Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Ford,Focus,30.61932203,5.966101695,94.03389831,1497.169492,petrol,814172,422731,"56,487",1293390
Ford,Fiesta,18.53214286,5.714285714,68.57142857,1166.142857,petrol,554879,631666,"54,057",1240602
Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,petrol,483216,310604,"47,563",841383
Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,petrol,241287,312556,"28,004",581847
BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,petrol,408016,115843,"29,125",552984
Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,petrol,216333,299110,"31,701",547144
Peugeot,206,20.03375,4.833333333,71.33333333,1631.5,petrol,178698,250614,"26,135",455447
Ford,Mondeo,39.97375,1.75,130.25,1998.5,petrol,357452,"69,603","16,550",443605
Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,petrol,143218,253000,"26,619",422837
Honda,Civic,29.942625,4.5,106.225,1480.575,petrol,242188,132958,"21,042",396188
Ford,Ka+,15.46,5,60.8,1196,petrol,102708,269428,"20,324",392460
Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,petrol,209379,156607,"21,049",387035
Toyota,Yaris,20.7206,3.52,74.4,1397.8,petrol,137907,214944,"27,670",380521
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,209476,"69,373","17,242",296091
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,petrol,202037,"59,936","13,629",275602
Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,petrol,211510,"48,599","14,505",274614
Honda,Jazz,26.3525,0,80,1498,petrol,105551,136875,"15,698",258124
Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,petrol,144962,"97,033","14,460",256455
Peugeot,307,27.46483636,4.872727273,86.45454545,1723,petrol,132728,108991,"14,395",256114
Peugeot,207,21.70216667,4.9,79.76666667,1536,petrol,"99,472",138839,"13,442",251753
Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,petrol,145377,"87,029","11,519",243925
Skoda,Fabia,19.00794118,5.205882353,66.97058824,1292.352941,petrol,109408,"87,532","10,776",207716
BMW,118i,37.4265,6.2,104.2,1796.6,petrol,103719,"87,660","11,806",203185
Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,diesel,118279,"59,369","9,921",187569
Citroen,C3,22.90364865,5.405405405,75.64864865,1364,petrol,"78,551","98,254","9,893",186698
Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,petrol,104996,"67,184","12,042",184222
BMW,535i,93.71425,8,225,2979,petrol,138584,"21,302","9,443",169329
Toyota,Avensis,37.31523077,4.323076923,103.6769231,1873.261538,petrol,123806,"29,728","9,574",163108
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,petrol,125070,"24,029","9,465",158564
Renault,Scenic,32.06304348,5.956521739,89.34782609,1472.826087,diesel,"85,989","62,467","8,346",156802
Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,petrol,"74,717","73,895","6,282",154894
Land-Rover,Discovery,107.4521429,8,182.5714286,2425.428571,diesel,112207,"29,981","6,388",148576
Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,diesel,107520,"34,079","6,847",148446
Nissan,Qashqai+2,34.93603125,5.25,97.71875,1820.65625,diesel,"79,290","56,539","8,830",144659
Skoda,Octavia,30.65053846,6.346153846,95,1136.692308,petrol,110428,"25,662","6,147",142237
Fiat,500L,26.29166667,5.6,74.73333333,1186.333333,diesel,"30,349",102113,"8,177",140639
Mercedes,A,31.1045119,4.547619048,93.01190476,1699.119048,petrol,"55,510","68,928","9,727",134165
Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,petrol,"78,034","44,706","7,892",130632
Citroen,C4,29.26025,5.95,90.625,1462.3625,petrol,"79,604","42,130","5,547",127281
Mini,One,24.09525,6.25,68.75,1498.25,petrol,"29,548","87,974","7,427",124949
Toyota,RAV4,43.54851613,1.35483871,137.7741935,2261.193548,petrol,"59,395","54,005","8,166",121566
Saab,9-3X,49.28583333,6,145,1963.666667,petrol,"84,741","27,948","6,616",119305
Peugeot,107,11.14333333,5,50,998,petrol,"32,821","73,891","5,917",112629
Toyota,Aygo,15.20916667,5,53,998,petrol,"33,395","66,147","7,814",107356
Hyundai,I10,16.011,5,51.77777778,998,petrol,"39,242","63,346","4,208",106796
Audi,A6,82.06090909,7.727272727,199.7272727,2790.454545,diesel,"85,861","15,146","5,507",106514
Kia,Picanto,16.59192308,5,52.84615385,998,petrol,"36,803","64,725","3,857",105385
Nissan,Note,19.31857143,5,66.42857143,1348.285714,diesel,"54,195","41,756","5,908",101859
Seat,Leon,32.93965169,6.348314607,114.8202247,1615.370787,petrol,"65,505","30,221","3,778","99,504"
Jaguar,XE,65.56875,8,167.25,1998,petrol,"79,176","13,946","3,968","97,090"
Ford,Fusion,19.37890909,4.863636364,61.27272727,1470.909091,petrol,"51,517","41,027","4,395","96,939"
Honda,Accord,39.39984314,5.784313725,117.7058824,2151.647059,petrol,"74,157","15,889","5,274","95,320"
Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,petrol,"47,900","39,519","5,986","93,405"
Mazda,6,42.66935185,5.907407407,118.1851852,2095.185185,petrol,"71,632","17,216","4,536","93,384"
Citroen,C1,13.48615385,5,52.38461538,1028.923077,petrol,"30,691","57,228","4,503","92,422"
Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,petrol,"34,918","49,829","6,070","90,817"
Ford,Galaxy,53.78571429,6,124.8571429,1855,diesel,"60,515","24,893","5,151","90,559"
Peugeot,308,32.33086957,5.891304348,103.1086957,1482.5,petrol,"50,045","36,010","4,024","90,079"
Mazda,3,30.99513158,5.789473684,101.8947368,1905.631579,petrol,"52,309","32,724","4,647","89,680"
Audi,TT,64.59222222,6.777777778,178.5555556,2011.555556,petrol,"45,707","37,950","5,714","89,371"
Renault,Laguna,34.02059211,5.552631579,99,1920.026316,diesel,"66,613","16,346","3,850","86,809"
Mazda,2,21.6,6,64.625,1496,petrol,"29,852","51,314","5,032","86,198"
Fiat,Panda,10.42388889,5,52.44444444,1095.777778,petrol,"34,789","42,772","4,671","82,232"
Toyota,Auris,26.97346154,3.076923077,85.69230769,1515.282051,petrol,"47,251","30,032","4,747","82,030"
Peugeot,306,18.64264,4.84,67,1698.64,petrol,"50,801","26,596","3,897","81,294"
Peugeot,106,12.35588235,4.647058824,53.88235294,1366.294118,petrol,"41,148","35,920","3,722","80,790"
Volvo,V70,50.96109091,6.181818182,135.2909091,1971.163636,diesel,"59,903","14,323","4,431","78,657"
Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,petrol,"38,039","33,281","3,354","74,674"
Volkswagen,Touran,32.98557692,6.230769231,94.03846154,1528.807692,diesel,"41,330","24,181","4,531","70,042"
Volkswagen,Beetle,33.25025,6.166666667,112.75,1475,petrol,"16,475","48,750","4,776","70,001"
Kia,Rio,22.95871429,6.285714286,80,998,petrol,"36,610","28,881","2,239","67,730"
Ford,C-MAX,32.1815,6,99,1448.6,petrol,"39,067","22,899","2,336","64,302"
BMW,X5,113.2693333,8,246.3333333,2994.666667,diesel,"45,819","14,588","3,268","63,675"
Nissan,Juke,28.23090909,6.454545455,86,999,petrol,"24,663","32,045","5,707","62,415"
Suzuki,Vitara,26.803,5.428571429,85.71428571,1310,petrol,"34,682","23,094","3,559","61,335"
Kia,Ceed,26.97522727,5.863636364,88.09090909,1460.795455,petrol,"37,398","20,296","1,991","59,685"
Peugeot,406,28.60820513,4.756410256,92.82051282,2043.820513,petrol,"46,504","9,985","2,693","59,182"
Hyundai,Getz,13.63642857,4.714285714,69,1424.857143,petrol,"24,389","31,656","2,947","58,992"
Nissan,X-Trail,47.361875,3.75,113.375,1774.8125,diesel,"41,540","14,753","2,532","58,825"
Mercedes,CLK,72.79589474,6.210526316,166.3157895,3041,petrol,"38,415","16,438","3,538","58,391"
